Year,Round,Day,Date,Time,Home,H_PTS,Away,A_PTS,Referee/s,Stadium,Crowd,date_time,HomeWin,SOO,Home_w_percent,Away_w_percent,Period
2008,Round 16,Sat,Jun-28,7:30pm,North Queensland,28,South Sydney,29,T. De Las Heras,Dairy Farmers,15631,2008-06-28 19:30:00,0.0,True,0.21428571428571427,0.23076923076923078,Origin
2008,Round 16,Sun,Jun-29,3:00pm,Parramatta,24,Melbourne,22,B. Cummins,Parramatta,12597,2008-06-29 15:00:00,1.0,True,0.46153846153846156,0.6923076923076923,Origin
2008,Round 16,Sun,Jun-29,2:00pm,Wests Tigers,26,Warriors,28,S. Lyons,Leichhardt,15027,2008-06-29 14:00:00,0.0,True,0.5,0.35714285714285715,Origin
2008,Round 16,Mon,Jun-30,7:00pm,Canberra,24,Cronulla,36,S. Hampstead,Canberra Stadium,9136,2008-06-30 19:00:00,0.0,True,0.46153846153846156,0.7142857142857143,Origin
2008,Round 17,Fri,Jul-4,7:45pm,Gold Coast Titans,14,Manly Warringah,34,J. Maxwell,Skilled Park,21374,2008-07-04 19:45:00,0.0,True,0.5714285714285714,0.7142857142857143,Origin
2008,Round 17,Sat,Jul-5,7:30pm,Newcastle,16,St George Illawarra,24,S. Hampstead,EnergyAustralia,22348,2008-07-05 19:30:00,0.0,True,0.42857142857142855,0.5714285714285714,Origin
2008,Round 17,Sun,Jul-6,2:00pm,Melbourne,30,Canberra,14,B. Cummins,Olympic Park,11719,2008-07-06 14:00:00,1.0,True,0.6428571428571429,0.42857142857142855,Origin
2008,Round 17,Sun,Jul-6,3:00pm,Parramatta,16,Penrith,22,S. Hayne,Parramatta,14012,2008-07-06 15:00:00,0.0,True,0.5,0.4642857142857143,Origin
2008,Round 17,Mon,Jul-7,7:00pm,Bulldogs,30,South Sydney,34,J. Robinson,ANZ,15662,2008-07-07 19:00:00,0.0,True,0.2857142857142857,0.2857142857142857,Origin
2008,Round 18,Fri,Jul-11,7:45pm,Penrith,18,Newcastle,30,G. Badger,CUA Stadium,10029,2008-07-11 19:45:00,0.0,False,0.5,0.4,Post
2008,Round 18,Fri,Jul-11,7:45pm,Sydney,28,Gold Coast Titans,32,B. Cummins,SFS,10762,2008-07-11 19:45:00,0.0,False,0.7333333333333333,0.5333333333333333,Post
2008,Round 18,Sat,Jul-12,7:30pm,Cronulla,6,Manly Warringah,34,J. Robinson,Toyota,18217,2008-07-12 19:30:00,0.0,False,0.7333333333333333,0.7333333333333333,Post
2008,Round 18,Sat,Jul-12,7:30pm,South Sydney,32,Parramatta,20,M. Cecchin,ANZ,17897,2008-07-12 19:30:00,1.0,False,0.3333333333333333,0.4666666666666667,Post
2008,Round 18,Sat,Jul-12,7:30pm,Warriors,24,North Queensland,14,S. Hampstead,Mt Smart,7722,2008-07-12 19:30:00,1.0,False,0.4,0.2,Post
2008,Round 18,Sun,Jul-13,3:00pm,Brisbane,18,Bulldogs,26,T. Archer,Suncorp,37683,2008-07-13 15:00:00,0.0,False,0.5666666666666667,0.26666666666666666,Post
2008,Round 18,Sun,Jul-13,2:00pm,St George Illawarra,12,Canberra,19,T. De Las Heras,WIN Stadium,14040,2008-07-13 14:00:00,0.0,False,0.6,0.4,Post
2008,Round 18,Mon,Jul-14,7:00pm,Wests Tigers,18,Melbourne,30,J. Maxwell,Campbelltown,16653,2008-07-14 19:00:00,0.0,False,0.4666666666666667,0.6666666666666666,Post
2008,Round 19,Fri,Jul-18,7:35pm,Manly Warringah,28,Parramatta,10,S. Hayne,Brookvale,18970,2008-07-18 19:35:00,1.0,False,0.75,0.4375,Post
2008,Round 19,Fri,Jul-18,7:35pm,North Queensland,18,Brisbane,32,B. Cummins,Dairy Farmers,22048,2008-07-18 19:35:00,0.0,False,0.1875,0.53125,Post
2008,Round 19,Sat,Jul-19,7:30pm,Bulldogs,22,Warriors,40,T. De Las Heras,ANZ,12973,2008-07-19 19:30:00,0.0,False,0.3125,0.4375,Post
2008,Round 19,Sat,Jul-19,7:30pm,Cronulla,16,Newcastle,13,T. Archer,Toyota,10112,2008-07-19 19:30:00,1.0,False,0.6875,0.4375,Post
2008,Round 19,Sat,Jul-19,5:30pm,Gold Coast Titans,22,Penrith,36,M. Cecchin,Skilled Park,17759,2008-07-19 17:30:00,0.0,False,0.5625,0.46875,Post
2008,Round 19,Sun,Jul-20,2:00pm,Canberra,34,Sydney,12,J. Maxwell,Canberra Stadium,13417,2008-07-20 14:00:00,1.0,False,0.4375,0.6875,Post
